ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
1,112001 17:00,,36,37,28,35,43,34,38,41,21,40,34,34,37,34,37,38,35,39,34,39,34,37,39,38,37
1,112001 18:00,,36,32,26,35,39,33,37,37,20,39,33,34,35,33,36,36,35,37,34,36,32,36,37,36,32
1,112001 19:00,,36,32,25,32,35,32,35,33,19,37,32,32,33,33,35,35,32,36,32,34,28,34,35,34,31
1,112001 20:00,,30,30,24,32,32,29,33,30,19,36,31,32,32,33,34,32,32,34,32,34,31,32,36,35,32
1,112001 21:00,,29,30,23,31,31,27,30,29,19,34,31,32,31,34,32,31,31,32,30,34,29,36,34,33,31
1,112001 22:00,,28,30,23,30,29,27,29,27,19,32,30,32,30,34,32,27,28,33,30,32,29,34,34,33,28
1,112001 23:00,,27,28,24,31,29,25,28,26,19,34,29,30,29,31,30,26,30,34,30,32,27,32,33,32,27
1,122001 0:00,,26,28,24,29,28,26,28,25,18,36,27,30,29,32,32,26,29,30,30,36,28,32,31,32,28
1,122001 1:00,,26,27,22,29,27,24,29,24,16,32,26,30,28,33,30,24,29,28,28,36,33,32,30,30,31
1,122001 2:00,,24,27,22,28,25,24,29,21,16,32,26,30,27,34,30,27,28,28,28,27,32,32,29,30,31
1,122001 3:00,,24,28,22,26,25,27,29,20,16,32,24,28,26,33,30,25,26,27,28,27,32,32,28,31,32
1,122001 4:00,,23,32,22,24,24,25,29,19,16,32,23,27,26,34,29,27,24,28,28,27,31,32,27,30,30
1,122001 5:00,,22,30,21,24,24,26,27,18,16,32,22,27,25,33,28,28,24,28,28,27,31,32,27,29,28
1,122001 6:00,,22,30,21,24,24,27,28,17,14,32,22,23,25,33,27,28,24,28,28,30,30,30,28,28,28
1,122001 7:00,,21,28,21,22,21,27,27,17,14,30,23,23,24,32,26,26,22,28,27,32,30,28,27,26,27
1,122001 8:00,,21,28,20,23,20,28,28,16,14,30,23,21,24,32,27,27,23,30,25,28,30,28,27,26,27
1,122001 9:00,,21,30,22,27,20,31,31,16,16,32,26,27,24,33,28,31,27,32,30,32,31,32,30,28,30
1,122001 10:00,,26,32,24,31,27,34,34,22,19,34,29,30,27,34,32,35,31,34,32,36,32,34,34,32,33
1,122001 11:00,,30,34,26,34,32,35,36,27,19,36,31,32,30,36,34,38,34,37,34,37,34,37,36,34,36
1,122001 12:00,,34,37,27,36,36,37,37,31,19,37,34,34,32,36,36,39,36,37,34,39,34,37,37,36,37
1,122001 13:00,,37,37,29,38,39,39,39,35,21,36,33,34,34,38,37,40,38,39,34,41,35,37,38,37,38
1,122001 14:00,,39,37,28,38,42,39,40,38,19,38,36,36,36,38,36,41,38,39,34,41,36,39,38,37,37
1,122001 15:00,,40,37,29,38,43,38,39,39,19,38,35,36,37,38,37,41,38,39,34,41,36,39,39,38,37
1,122001 16:00,,40,37,27,37,43,37,39,40,19,39,33,34,37,37,36,41,37,39,32,39,35,37,39,37,37
1,122001 17:00,,40,36,26,34,43,34,36,40,18,37,31,34,37,35,34,38,34,37,32,37,33,37,37,35,36
1,122001 18:00,,36,32,24,32,38,29,33,36,16,34,28,32,34,35,30,35,32,34,30,32,33,34,34,33,34
1,122001 19:00,,32,28,23,29,34,27,31,32,16,32,26,30,30,35,30,32,29,32,30,28,32,30,32,31,26
1,122001 20:00,,29,28,22,28,31,27,26,29,16,32,25,30,28,34,28,31,28,32,28,27,31,27,32,30,28
1,122001 21:00,,27,23,22,27,30,28,25,28,14,32,25,28,28,34,27,28,27,30,28,27,31,27,30,29,28
1,122001 22:00,,26,23,21,26,28,26,24,26,14,30,21,28,25,34,26,25,27,28,27,24,29,23,28,29,28
1,122001 23:00,,25,21,20,24,27,28,27,25,14,28,22,27,25,33,26,28,21,28,25,25,29,30,27,28,27
1,132001 0:00,,24,21,19,22,27,27,27,24,14,28,19,21,24,32,26,25,22,27,25,27,28,28,25,26,27
1,132001 1:00,,23,19,19,22,26,26,25,23,12,27,18,21,21,31,25,26,22,25,25,27,27,23,23,25,21
1,132001 2:00,,21,19,17,19,24,23,25,20,10,27,17,21,19,30,21,25,19,25,25,27,26,25,21,22,21
1,132001 3:00,,20,19,17,20,23,20,24,19,9,25,18,18,17,30,21,25,20,27,23,25,26,21,19,19,19
1,132001 4:00,,20,18,17,15,23,19,23,18,10,25,15,18,16,29,19,22,15,25,21,25,27,21,19,18,16
1,132001 5:00,,19,16,16,17,22,19,23,17,9,21,15,16,15,29,18,20,17,25,21,25,27,21,19,16,16
1,132001 6:00,,18,16,15,16,22,19,22,16,9,19,14,14,10,29,16,22,16,25,21,21,26,19,18,14,16
1,132001 7:00,,17,14,13,15,19,18,21,16,9,18,15,16,9,28,14,22,15,23,21,21,26,18,19,13,13
1,132001 8:00,,17,14,11,14,18,19,22,15,7,12,12,12,10,29,16,21,14,25,21,21,26,19,20,13,16
1,132001 9:00,,17,27,16,21,18,25,27,15,9,25,19,19,19,31,21,26,21,28,25,27,27,25,21,21,23
1,132001 10:00,,23,30,20,26,25,29,29,21,14,30,24,23,28,33,27,30,26,32,28,32,28,30,27,27,28
1,132001 11:00,,28,32,25,30,29,32,31,26,19,32,29,28,36,34,32,34,30,32,30,33,29,32,32,32,30
1,132001 12:00,,33,34,29,33,33,34,33,31,28,34,33,30,39,35,34,36,33,36,34,36,31,34,34,35,34
1,132001 13:00,,36,37,33,35,36,35,35,35,32,36,34,34,39,34,35,38,35,36,36,37,31,37,37,37,34
1,132001 14:00,,38,37,35,37,39,36,37,38,32,37,36,36,34,34,37,40,37,37,37,37,34,37,37,38,36
1,132001 15:00,,40,37,35,38,40,36,38,39,32,37,36,36,36,34,37,39,37,37,37,37,35,37,36,39,37
1,132001 16:00,,40,37,35,37,40,36,39,40,30,39,36,36,41,33,37,39,37,37,39,37,35,37,36,39,37
1,132001 17:00,,40,34,33,35,40,31,35,40,28,34,33,36,37,30,35,38,35,36,37,37,34,36,36,34,34
1,132001 18:00,,37,28,29,32,36,28,27,36,25,30,31,30,27,25,27,30,32,28,32,30,28,30,30,29,28
1,132001 19:00,,33,28,26,31,32,25,27,32,23,28,27,28,25,22,27,28,31,28,30,32,29,27,27,29,23
1,132001 20:00,,30,28,25,26,29,24,24,29,21,27,27,27,19,21,25,29,26,25,28,27,25,27,25,26,25
1,132001 21:00,,28,27,25,29,28,22,24,28,21,25,26,28,19,22,24,25,29,25,27,25,24,27,23,25,25
1,132001 22:00,,27,27,24,24,26,27,23,26,21,25,24,28,18,22,24,24,19,23,28,22,23,28,21,25,21
1,132001 23:00,,26,25,23,27,26,24,19,25,21,25,24,23,17,27,23,23,19,28,30,21,22,25,21,24,25
1,142001 0:00,,25,23,23,23,25,23,20,24,21,25,23,21,16,24,23,22,23,19,25,25,22,25,18,23,23
1,142001 1:00,,24,27,22,24,24,24,22,23,21,23,23,21,13,28,23,21,24,21,23,21,23,25,18,23,23
1,142001 2:00,,23,23,21,20,22,24,19,20,21,23,23,21,18,22,21,20,20,18,27,21,23,25,18,22,21
1,142001 3:00,,22,21,23,22,22,23,18,19,21,21,21,18,18,28,22,20,22,18,23,19,21,23,18,20,21
1,142001 4:00,,21,21,23,17,21,24,18,18,21,25,21,19,19,28,21,20,17,19,23,21,22,23,18,18,23
1,142001 5:00,,21,21,24,18,21,23,20,17,21,23,23,18,23,28,21,21,18,18,23,21,22,21,19,19,19
1,142001 6:00,,20,19,25,13,21,22,21,16,21,21,23,19,25,31,23,20,13,19,23,21,23,23,20,18,21
1,142001 7:00,,19,18,15,18,18,21,22,16,21,19,26,20,23,32,24,21,18,19,27,20,23,23,21,18,22
1,142001 8:00,,19,19,14,20,17,21,24,15,21,21,27,22,23,32,23,21,20,21,32,19,23,23,22,17,21
1,142001 9:00,,19,28,12,28,17,27,28,15,23,27,28,23,30,34,28,25,28,28,32,25,28,30,23,25,27
1,142001 10:00,,24,32,20,33,24,32,32,23,23,32,32,30,37,34,34,34,33,33,36,30,32,32,34,33,34
1,142001 11:00,,29,36,25,40,29,37,37,29,23,39,38,34,41,36,39,41,40,37,37,37,34,37,41,38,37
1,142001 12:00,,33,39,35,43,33,38,40,35,28,43,38,37,43,36,41,43,43,39,37,41,35,41,45,41,41
1,142001 13:00,,36,41,38,45,36,41,43,39,28,45,41,39,43,38,40,44,45,43,41,45,36,43,45,42,43
1,142001 14:00,,38,42,38,46,39,43,44,43,28,45,42,41,35,37,41,46,46,45,41,46,35,43,45,42,43
1,142001 15:00,,40,42,38,47,40,42,45,45,28,45,42,43,37,37,41,47,47,45,39,46,36,43,45,42,43
1,142001 16:00,,40,43,38,47,40,39,44,46,27,45,42,43,43,38,42,47,47,45,37,46,35,43,45,42,43
1,142001 17:00,,40,37,37,45,40,35,41,46,25,43,39,41,43,35,39,43,45,39,36,43,33,43,43,40,39
1,142001 18:00,,37,32,33,41,36,32,34,42,23,39,36,34,32,34,34,40,41,39,34,37,29,36,39,35,34
1,142001 19:00,,34,28,28,39,32,30,30,37,23,36,32,32,32,34,29,34,39,32,34,34,28,32,32,29,29
1,142001 20:00,,26,28,29,38,30,27,29,34,23,32,32,30,27,34,28,29,38,28,32,30,27,30,28,28,27
1,142001 21:00,,23,27,28,34,28,26,27,32,25,25,28,28,25,33,27,29,34,25,32,27,25,28,27,25,25
1,142001 22:00,,21,28,26,33,27,23,25,31,27,27,27,27,21,30,25,26,27,27,30,27,26,28,25,26,25
1,142001 23:00,,20,27,28,34,26,22,24,29,27,25,26,27,19,27,25,25,25,27,30,25,25,27,25,23,24
1,152001 0:00,,19,23,24,25,26,20,22,28,27,23,21,25,18,25,22,24,25,23,28,25,23,27,23,22,23
1,152001 1:00,,20,21,23,27,25,20,23,27,27,23,24,23,18,23,22,24,27,21,27,25,25,23,23,22,21
1,152001 2:00,,21,21,22,26,23,22,21,24,23,23,24,21,18,25,21,24,26,21,27,23,24,23,23,22,21
1,152001 3:00,,19,21,22,26,23,22,22,23,27,23,27,21,18,24,21,23,26,21,25,23,21,23,21,22,19
1,152001 4:00,,21,21,23,25,22,21,21,22,27,23,35,21,15,23,20,24,25,19,28,23,23,23,19,20,21
1,152001 5:00,,21,21,24,26,22,23,19,21,28,23,25,21,19,23,19,24,26,19,28,23,24,23,19,20,19
1,152001 6:00,,22,23,25,25,22,23,19,20,30,23,25,23,21,22,21,24,25,19,28,21,27,23,21,22,21
1,152001 7:00,,26,28,25,28,19,29,21,19,32,27,27,23,25,31,25,20,28,19,28,23,27,27,28,27,27
1,152001 8:00,,28,30,25,30,18,31,27,18,32,30,28,23,28,33,25,24,30,27,30,35,28,32,30,29,28
1,152001 9:00,,32,32,28,34,18,33,36,18,34,34,30,30,32,42,30,24,34,36,32,37,31,34,32,30,30
1,152001 10:00,,39,37,33,37,27,36,40,25,34,37,30,34,36,45,36,30,37,46,32,37,34,37,37,37,35
1,152001 11:00,,34,39,40,41,33,39,48,31,36,43,30,34,37,49,36,37,41,48,32,48,36,43,43,38,39
1,152001 12:00,,44,45,46,48,38,42,51,37,32,46,34,37,39,49,37,42,48,50,37,52,41,45,45,41,41
1,152001 13:00,,42,46,50,52,42,46,52,41,32,48,39,43,43,50,41,52,52,51,45,54,42,46,48,43,44
1,152001 14:00,,44,46,50,53,45,46,50,44,34,52,45,46,46,51,46,52,53,48,47,54,44,48,54,48,46
1,152001 15:00,,46,46,51,54,47,47,49,46,44,54,46,50,41,52,48,52,53,48,50,52,45,52,54,50,49
1,152001 16:00,,46,46,50,55,47,46,50,47,50,54,48,50,41,52,49,51,52,51,50,52,46,52,54,50,50
1,152001 17:00,,52,46,48,52,47,44,48,47,49,50,48,50,41,52,46,49,52,49,46,50,45,50,54,48,46
1,152001 18:00,,44,37,43,48,43,39,44,44,45,46,44,39,39,50,39,46,48,46,43,48,43,43,46,42,43
1,152001 19:00,,43,32,37,46,40,34,41,40,42,39,42,34,36,49,34,45,46,45,41,46,41,36,39,39,32
1,152001 20:00,,39,30,36,39,37,32,41,38,32,34,40,32,34,48,34,44,39,43,34,45,40,32,36,32,39
1,152001 21:00,,38,30,33,41,36,28,38,37,32,34,39,34,33,47,32,42,41,37,37,43,39,30,32,31,36
1,152001 22:00,,37,28,38,39,35,28,42,35,32,30,39,32,32,45,34,42,43,42,37,40,34,32,36,28,40
1,152001 23:00,,37,28,38,36,34,26,37,34,32,30,37,32,32,42,30,42,34,43,37,38,28,32,32,29,39
1,162001 0:00,,36,28,35,39,33,22,37,34,32,28,35,30,31,40,28,40,39,36,41,36,28,28,30,28,37
1,162001 1:00,,36,28,37,32,33,29,32,33,30,35,31,36,30,39,28,38,32,34,43,34,35,27,28,28,36
1,162001 2:00,,35,32,35,37,31,33,33,31,30,34,36,39,29,39,36,36,37,36,41,34,35,35,28,26,36
1,162001 3:00,,34,32,34,39,31,32,35,30,28,32,37,39,28,39,37,35,39,36,39,34,35,37,25,35,34
1,162001 4:00,,34,30,32,34,30,27,35,29,28,30,36,36,27,37,36,34,34,37,41,34,35,37,25,36,33
1,162001 5:00,,33,32,32,32,30,28,34,28,28,32,34,30,26,37,34,32,32,36,37,32,33,37,27,37,38
1,162001 6:00,,33,36,31,32,29,28,34,27,27,32,35,30,26,37,34,31,32,39,37,28,35,37,27,38,36
1,162001 7:00,,32,37,30,33,27,28,34,26,27,36,35,29,25,37,36,31,33,37,36,27,34,37,27,35,35
1,162001 8:00,,32,37,31,33,26,29,33,26,27,36,35,28,25,37,36,34,33,32,36,32,33,37,28,35,34
1,162001 9:00,,32,39,32,37,26,35,38,26,27,37,38,32,25,38,37,39,37,39,37,37,37,39,34,38,37
1,162001 10:00,,38,45,34,42,35,40,43,34,28,43,40,39,30,39,41,45,42,45,41,45,41,43,41,42,42
1,162001 11:00,,43,46,37,45,42,46,47,40,32,46,41,41,34,41,43,48,45,46,41,48,42,45,45,45,45
1,162001 12:00,,48,46,39,48,48,49,48,46,32,48,43,43,38,42,45,50,48,48,45,48,45,46,46,47,46
1,162001 13:00,,51,50,42,49,52,50,49,50,34,48,44,46,41,44,46,51,49,50,45,52,47,50,48,48,47
1,162001 14:00,,53,52,47,51,55,50,50,54,36,48,46,46,44,44,48,52,51,52,46,52,47,50,50,48,48
1,162001 15:00,,55,52,49,52,57,50,50,56,37,50,48,50,46,46,49,54,52,50,50,52,47,50,50,49,48
1,162001 16:00,,55,50,48,52,57,49,49,57,36,48,48,50,46,44,48,53,52,50,50,50,47,50,50,50,48
1,162001 17:00,,55,46,46,51,57,41,47,57,36,46,45,50,46,42,46,50,51,46,46,46,45,46,50,47,46
1,162001 18:00,,51,37,39,46,53,41,42,54,36,43,42,39,44,41,39,44,46,41,43,43,39,43,43,41,37
1,162001 19:00,,46,32,39,44,49,40,34,50,34,39,38,36,41,41,36,39,44,37,37,34,35,36,37,39,33
1,162001 20:00,,35,32,38,44,33,32,33,34,34,36,34,34,30,41,32,34,44,34,34,30,32,32,32,34,30
1,162001 21:00,,28,30,37,43,28,30,29,28,34,32,30,34,27,40,31,37,43,30,41,32,31,32,28,32,27
1,162001 22:00,,28,30,36,40,29,28,29,29,36,28,32,34,25,39,31,32,32,32,32,29,29,32,27,30,26
1,162001 23:00,,27,28,36,38,28,33,28,28,34,28,31,36,24,39,30,31,30,30,34,28,29,32,27,28,27
1,172001 0:00,,27,28,30,35,28,35,26,28,34,30,31,37,23,40,28,31,35,27,32,28,27,34,27,28,27
1,172001 1:00,,27,28,28,36,28,34,25,28,34,32,29,30,23,39,28,29,36,27,32,28,27,32,27,28,26
1,172001 2:00,,33,28,27,34,28,32,25,28,36,32,26,30,23,39,28,30,34,25,32,27,25,32,27,30,27
1,172001 3:00,,32,30,26,34,26,32,26,26,37,34,28,30,23,40,29,30,34,25,34,28,25,34,27,30,30
1,172001 4:00,,31,28,26,34,27,32,26,27,37,34,26,30,23,40,28,29,34,25,30,27,27,32,27,31,26
1,172001 5:00,,27,30,26,33,28,30,28,28,37,34,25,30,21,30,27,30,33,25,34,28,30,34,23,26,28
1,172001 6:00,,28,28,25,32,36,33,28,36,37,34,27,30,25,29,27,30,32,25,36,32,27,34,25,30,28
1,172001 7:00,,28,30,27,32,36,32,30,36,37,34,25,30,25,30,28,30,32,27,37,32,27,32,25,30,30
1,172001 8:00,,30,32,27,28,35,35,28,35,36,34,28,30,27,32,28,30,28,32,32,36,31,34,25,31,30
1,172001 9:00,,39,37,30,36,30,40,40,30,37,36,33,32,39,39,33,43,36,37,41,39,38,39,32,36,37
1,172001 10:00,,39,46,33,41,35,47,45,35,41,43,40,37,43,49,41,47,41,45,43,45,44,45,43,41,42
1,172001 11:00,,50,50,37,44,46,53,52,46,43,48,46,43,50,51,46,51,44,52,50,52,50,52,48,49,46
1,172001 12:00,,52,52,41,47,50,53,55,50,45,54,51,45,40,53,52,56,47,57,50,54,54,55,52,52,52
1,172001 13:00,,52,57,45,50,53,57,58,53,45,53,53,50,43,52,55,59,50,59,54,57,56,57,54,55,55
1,172001 14:00,,53,59,46,53,53,57,58,53,46,53,55,52,45,53,58,57,53,57,54,57,58,57,54,57,58
1,172001 15:00,,53,59,49,54,53,58,58,53,46,53,55,54,47,53,56,57,54,55,54,59,56,57,54,57,57
1,172001 16:00,,53,57,51,54,57,54,57,57,46,52,53,54,47,51,55,57,54,55,54,55,56,57,52,54,54
1,172001 17:00,,51,54,50,53,54,52,53,54,45,52,51,52,47,48,52,54,53,52,54,54,52,52,50,52,50
1,172001 18:00,,45,52,47,46,46,50,50,46,45,50,49,50,54,46,50,51,46,48,50,48,50,46,48,49,46
1,172001 19:00,,42,50,43,48,46,49,47,46,43,48,46,43,52,47,47,48,48,45,46,46,50,46,43,49,45
1,172001 20:00,,44,46,40,45,48,44,46,50,41,45,40,39,41,46,39,48,45,45,46,46,48,41,41,46,41
1,172001 21:00,,42,41,42,45,46,43,46,48,41,43,43,43,40,49,37,46,45,46,45,46,49,39,37,43,45
1,172001 22:00,,41,41,42,45,45,42,41,47,41,41,42,46,39,49,41,45,43,48,41,46,46,41,39,44,45
1,172001 23:00,,40,46,42,45,44,45,37,46,41,41,40,46,39,49,39,42,41,46,43,39,44,43,39,44,45
1,182001 0:00,,39,46,45,45,44,46,37,45,37,41,40,43,38,47,44,41,45,36,41,41,46,45,39,44,44
1,182001 1:00,,38,45,44,45,43,45,43,45,37,43,40,43,38,48,45,42,45,37,41,41,48,45,39,45,40
1,182001 2:00,,37,45,42,44,42,44,44,43,39,45,40,45,36,47,43,39,44,36,43,43,48,45,41,45,41
1,182001 3:00,,36,41,40,42,41,42,44,42,41,45,42,43,36,46,41,39,42,37,43,45,45,45,39,45,43
1,182001 4:00,,35,46,38,42,41,44,42,41,41,45,42,39,35,47,39,40,42,37,41,45,44,45,39,42,44
1,182001 5:00,,35,45,37,43,41,44,44,41,40,45,41,39,34,47,38,40,43,37,39,43,44,45,39,43,43
1,182001 6:00,,34,43,36,42,40,41,44,40,40,45,41,41,34,47,38,43,42,37,37,43,44,45,39,40,43
1,182001 7:00,,33,42,36,42,38,42,42,39,39,45,40,41,33,47,38,43,42,39,39,43,44,44,41,40,40
1,182001 8:00,,33,42,35,42,37,45,43,39,32,45,40,41,33,46,39,46,42,39,41,43,46,43,41,43,39
1,182001 9:00,,33,41,34,43,37,48,46,39,32,45,40,39,33,45,40,49,43,45,41,45,45,43,41,42,40
1,182001 10:00,,38,41,37,43,44,47,50,43,32,45,40,39,39,46,41,52,43,50,41,46,43,43,41,42,42
1,182001 11:00,,43,45,36,43,48,45,51,47,32,45,40,39,43,49,41,48,43,54,41,52,42,43,43,42,45
1,182001 12:00,,47,45,37,44,52,45,51,50,32,45,40,41,48,50,41,49,44,54,43,50,44,45,43,43,45
1,182001 13:00,,49,45,37,46,55,47,51,52,32,45,41,41,51,48,41,51,46,52,45,48,45,45,43,44,45
1,182001 14:00,,52,45,36,47,58,46,47,54,32,45,43,43,54,49,42,53,47,48,45,46,45,45,45,42,45
1,182001 15:00,,53,45,37,49,59,45,45,55,32,45,43,43,55,48,43,54,49,46,45,48,45,45,45,43,45
1,182001 16:00,,53,45,36,48,59,44,45,56,30,45,43,43,56,46,42,52,48,46,43,50,45,45,45,44,45
1,182001 17:00,,53,45,35,46,59,44,45,56,28,45,42,43,56,43,42,49,46,46,41,46,45,45,45,44,44
1,182001 18:00,,50,45,33,44,54,44,45,52,28,45,41,37,52,43,41,47,44,45,41,45,44,45,45,42,43
1,182001 19:00,,46,45,32,45,50,44,46,48,27,45,38,41,48,42,41,47,45,45,37,45,41,45,43,41,42
1,182001 20:00,,43,43,32,43,47,44,45,46,27,45,37,39,45,41,40,46,43,45,37,45,40,43,37,41,42
1,182001 21:00,,42,41,31,42,45,42,45,44,27,44,35,38,44,41,38,45,42,45,37,45,39,43,36,41,42
1,182001 22:00,,40,41,30,41,43,41,44,42,25,42,34,38,42,42,36,44,39,45,36,45,39,43,32,38,42
1,182001 23:00,,39,39,29,40,42,39,42,41,23,41,33,37,41,42,34,40,37,44,36,42,38,43,32,37,41
1,192001 0:00,,39,39,29,39,41,39,42,40,22,40,33,36,40,41,34,38,39,41,34,43,38,39,36,34,40
1,192001 1:00,,38,39,28,38,40,38,42,39,22,37,33,36,39,40,34,37,38,41,34,43,38,37,37,34,39
1,192001 2:00,,36,38,27,37,38,34,39,37,21,37,32,34,36,39,33,37,37,39,34,43,37,37,37,36,38
1,192001 3:00,,35,38,27,36,38,32,38,35,21,37,33,34,35,39,32,38,36,39,32,41,36,37,37,33,37
1,192001 4:00,,34,38,26,36,37,32,34,34,20,37,32,34,34,37,33,38,36,36,32,39,36,37,36,33,34
1,192001 5:00,,34,37,25,34,37,33,37,33,20,36,30,34,32,37,32,38,34,37,23,39,36,37,34,33,32
1,192001 6:00,,33,37,24,33,36,34,38,32,19,34,28,32,32,37,31,37,33,37,30,39,35,37,34,32,32
1,192001 7:00,,32,34,24,33,33,35,38,32,19,32,28,32,31,37,32,36,33,37,30,39,35,34,34,32,32
1,192001 8:00,,32,34,25,31,32,34,37,31,18,32,28,30,30,37,31,35,31,37,30,36,35,34,34,33,32
1,192001 9:00,,32,36,25,33,32,35,37,31,18,34,29,32,30,37,32,35,33,37,30,36,35,34,36,33,32
1,192001 10:00,,36,37,25,35,37,37,37,35,19,34,31,34,33,39,33,35,35,37,32,36,35,37,36,34,33
1,192001 11:00,,40,37,25,37,40,38,38,38,19,36,32,34,36,40,35,37,37,37,28,37,35,37,39,36,33
1,192001 12:00,,43,37,26,39,43,38,40,41,19,36,33,34,38,41,36,38,39,41,29,39,36,39,39,38,35
1,192001 13:00,,45,37,27,41,45,40,39,43,19,36,36,36,40,40,37,38,41,41,30,39,36,41,41,39,37
1,192001 14:00,,47,37,26,42,47,41,41,44,19,36,36,36,42,38,38,39,42,39,30,39,37,39,39,39,37
1,192001 15:00,,48,37,27,42,48,40,41,46,19,37,36,36,43,39,38,41,42,43,30,39,37,39,41,39,38
1,192001 16:00,,48,37,27,40,48,38,40,46,19,37,35,36,43,38,38,40,40,39,34,39,36,37,39,38,38
1,192001 17:00,,48,37,26,36,48,36,39,46,19,37,33,34,43,36,35,39,36,39,32,39,35,37,39,37,36
1,192001 18:00,,45,36,25,33,44,33,37,43,19,37,30,34,40,37,33,33,33,37,30,37,34,37,37,34,34
1,192001 19:00,,41,32,24,32,40,30,33,40,19,34,29,32,38,37,31,35,32,36,30,34,33,34,34,33,33
1,192001 20:00,,32,32,23,30,34,28,33,34,19,34,28,30,30,36,30,35,30,34,30,34,33,34,34,31,32
1,192001 21:00,,30,32,23,27,32,30,32,33,19,32,27,30,28,36,30,34,27,34,30,34,33,32,32,30,31
1,192001 22:00,,28,32,22,28,31,28,33,31,19,32,27,30,28,36,28,33,28,34,30,32,32,32,30,30,30
1,192001 23:00,,28,32,22,27,31,28,31,31,21,30,27,30,28,35,29,32,28,33,30,31,32,32,30,30,29
1,1102001 0:00,,27,30,22,27,30,29,30,30,21,30,26,30,28,34,30,30,27,30,28,28,32,32,28,30,29
1,1102001 1:00,,28,30,22,27,29,28,29,29,23,30,26,30,28,34,29,30,27,30,32,28,31,30,28,29,28
1,1102001 2:00,,28,30,21,27,28,28,29,28,21,30,26,30,28,33,26,29,27,28,32,27,30,32,28,27,28
1,1102001 3:00,,29,30,21,25,27,28,29,27,23,28,25,30,27,32,26,29,25,28,32,27,29,30,27,27,28
1,1102001 4:00,,30,30,21,25,27,28,29,27,23,28,27,29,27,32,26,29,25,28,32,27,29,30,27,26,27
1,1102001 5:00,,28,30,22,25,26,28,29,26,25,28,26,29,25,32,25,29,25,27,32,27,29,30,27,23,28
1,1102001 6:00,,28,28,22,25,26,28,28,26,27,28,24,28,27,32,25,29,25,27,32,27,30,30,27,27,28
1,1102001 7:00,,28,28,22,26,26,29,28,26,28,28,26,28,27,33,26,29,26,27,32,28,30,30,27,27,29
1,1102001 8:00,,27,32,24,26,25,30,29,26,28,30,25,30,28,33,29,29,26,28,34,28,30,30,27,27,30
1,1102001 9:00,,34,34,28,31,33,33,33,33,28,34,33,32,38,35,32,34,31,32,37,34,33,34,32,34,33
1,1102001 10:00,,42,37,35,35,38,38,39,38,30,39,41,36,39,37,36,39,35,37,41,39,36,39,39,38,36
1,1102001 11:00,,46,41,39,42,44,42,45,44,30,45,44,41,45,38,42,45,42,44,38,45,39,43,45,42,41
1,1102001 12:00,,37,45,36,49,38,45,48,52,40,46,49,45,33,40,45,50,49,46,46,48,41,45,48,47,44
1,1102001 13:00,,39,46,36,53,40,46,50,42,47,50,52,50,35,43,49,52,53,52,50,52,42,46,52,50,47
